Name,Artist,Composer,Album,Grouping,Work,Movement Number,Movement Count,Movement Name,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Wrong Together,Steve Swallow,Steve Swallow,Real Book,,,,,,Jazz,12297195,321,1,1,3,10,1993,2017-05-29 19:42,2015-10-18 21:10,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Real Book\03 Wrong Together.m4a
Outfits,Steve Swallow,Steve Swallow,Real Book,,,,,,Jazz,13526209,354,1,1,4,10,1993,2017-05-29 19:42,2015-10-18 21:10,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Real Book\04 Outfits.m4a
Thinking Out Loud,Steve Swallow,Steve Swallow,Real Book,,,,,,Jazz,12011917,307,1,1,5,10,1993,2017-05-29 19:42,2015-10-18 21:10,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Real Book\05 Thinking Out Loud.m4a
Let's Eat,Steve Swallow,Steve Swallow,Real Book,,,,,,Jazz,13048171,341,1,1,6,10,1993,2017-05-29 19:42,2015-10-18 21:10,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Real Book\06 Let's Eat.m4a
Better Times,Steve Swallow,Steve Swallow,Real Book,,,,,,Jazz,9041961,232,1,1,7,10,1993,2017-05-29 19:42,2015-10-18 21:10,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Real Book\07 Better Times.m4a
Willow,Steve Swallow,Steve Swallow,Real Book,,,,,,Jazz,10009331,253,1,1,8,10,1993,2017-05-29 19:42,2015-10-18 21:10,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Real Book\08 Willow.m4a
Muddy In the Bank,Steve Swallow,Steve Swallow,Real Book,,,,,,Jazz,8287395,205,1,1,9,10,1993,2017-05-29 19:42,2015-10-18 21:10,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Real Book\09 Muddy In the Bank.m4a
Ponytail,Steve Swallow,Steve Swallow,Real Book,,,,,,Jazz,15019020,388,1,1,10,10,1993,2017-05-29 19:43,2015-10-18 21:10,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Steve Swallow\Real Book\10 Ponytail.m4a
Chelsea Bells (For Hern),Gary Burton & Steve Swallow,,Hotel Hello,,,,,,Jazz,9416422,265,1,1,1,9,1975,2017-05-29 19:43,2015-10-18 20:48,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Gary Burton & Steve Swallow\Hotel Hello\01 Chelsea Bells (For Hern).m4a
Hotel Overture + Vamp,Gary Burton & Steve Swallow,,Hotel Hello,,,,,,Jazz,7838145,221,1,1,2,9,1975,2017-05-29 19:43,2015-10-18 20:48,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Gary Burton & Steve Swallow\Hotel Hello\02 Hotel Overture + Vamp.m4a
Hotel Hello,Gary Burton & Steve Swallow,,Hotel Hello,,,,,,Jazz,11031556,322,1,1,3,9,1975,2017-05-29 19:43,2015-10-18 20:48,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Gary Burton & Steve Swallow\Hotel Hello\03 Hotel Hello.m4a
Inside In,Gary Burton & Steve Swallow,Mike Gibbs,Hotel Hello,,,,,,Jazz,5884815,163,1,1,4,9,1975,2017-05-29 19:43,2015-10-18 20:48,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Gary Burton & Steve Swallow\Hotel Hello\04 Inside In.m4a
Domino Biscuit,Gary Burton & Steve Swallow,,Hotel Hello,,,,,,Jazz,4333111,116,1,1,5,9,1975,2017-05-29 19:43,2015-10-18 20:48,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Gary Burton & Steve Swallow\Hotel Hello\05 Domino Biscuit.m4a
Vashkar,Gary Burton & Steve Swallow,Carla Bley,Hotel Hello,,,,,,Jazz,12372441,358,1,1,6,9,1975,2017-05-29 19:43,2015-10-18 20:48,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Gary Burton & Steve Swallow\Hotel Hello\06 Vashkar.m4a
